full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
steipete/claude-code-mcp,1154,1154,140,0,0,0,https://github.com/steipete/claude-code-mcp
zhukunpenglinyutong/idea-claude-code-gui,1502,1502,167,3,3,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
obra/superpowers,71753,71753,5531,164,164,10,https://github.com/obra/superpowers
JessyTsui/Claude-Code-Remote,1135,1135,123,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
trailofbits/claude-code-config,1495,1495,111,6,6,1,https://github.com/trailofbits/claude-code-config
catlog22/Claude-Code-Workflow,1422,1422,116,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
farion1231/cc-switch,24177,24177,1487,17,17,0,https://github.com/farion1231/cc-switch
simonw/claude-code-transcripts,1089,1089,122,3,3,0,https://github.com/simonw/claude-code-transcripts
anthropics/claude-plugins-official,9110,9110,902,25,25,4,https://github.com/anthropics/claude-plugins-official
alirezarezvani/claude-skills,2488,2488,326,23,23,2,https://github.com/alirezarezvani/claude-skills
pchalasani/claude-code-tools,1543,1543,101,1,1,0,https://github.com/pchalasani/claude-code-tools
peterkrueck/Claude-Code-Development-Kit,1317,1317,149,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
winfunc/opcode,20801,20801,1597,6,6,0,https://github.com/winfunc/opcode
jeremylongshore/claude-code-plugins-plus-skills,1521,1521,183,5,5,1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
jarrodwatts/claude-code-config,959,959,120,1,1,0,https://github.com/jarrodwatts/claude-code-config
0xfurai/claude-code-subagents,749,749,139,1,1,0,https://github.com/0xfurai/claude-code-subagents
ComposioHQ/awesome-claude-skills,41098,41098,4080,48,48,4,https://github.com/ComposioHQ/awesome-claude-skills
wasabeef/claude-code-cookbook,1024,1024,111,0,0,0,https://github.com/wasabeef/claude-code-cookbook
revfactory/claude-code-mastering,760,760,124,0,0,0,https://github.com/revfactory/claude-code-mastering
cixingguangming55555/wechat-bot,2533,2533,667,0,0,0,https://github.com/cixingguangming55555/wechat-bot
alirezarezvani/claude-code-tresor,572,572,136,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
EnzeD/vibe-coding,4002,4002,1346,1,1,0,https://github.com/EnzeD/vibe-coding
d-kimuson/claude-code-viewer,946,946,106,0,0,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-demos,1603,1603,250,1,1,0,https://github.com/anthropics/claude-agent-sdk-demos
anthropics/claude-agent-sdk-python,5194,5194,692,2,2,2,https://github.com/anthropics/claude-agent-sdk-python
code-yeongyu/oh-my-opencode,37238,37238,2799,37,37,2,https://github.com/code-yeongyu/oh-my-opencode
numman-ali/openskills,8777,8777,564,7,7,0,https://github.com/numman-ali/openskills
Alishahryar1/free-claude-code,805,805,95,5,5,0,https://github.com/Alishahryar1/free-claude-code
ericbuess/claude-code-docs,718,718,101,0,0,0,https://github.com/ericbuess/claude-code-docs
anomalyco/opencode,116613,116613,11853,93,93,13,https://github.com/anomalyco/opencode
opactorai/Claudable,3771,3771,563,0,0,0,https://github.com/opactorai/Claudable
browser-use/browser-use,79687,79687,9422,12,12,1,https://github.com/browser-use/browser-use
MadAppGang/claude-code,242,242,25,0,0,0,https://github.com/MadAppGang/claude-code
kn1026/cc,704,704,270,0,0,0,https://github.com/kn1026/cc
severity1/claude-code-prompt-improver,1172,1172,100,1,1,0,https://github.com/severity1/claude-code-prompt-improver
Yeachan-Heo/oh-my-claudecode,8513,8513,591,21,21,1,https://github.com/Yeachan-Heo/oh-my-claudecode
greggh/claude-code.nvim,1886,1886,60,0,0,0,https://github.com/greggh/claude-code.nvim
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
superdesigndev/superdesign,6064,6064,687,2,2,0,https://github.com/superdesigndev/superdesign
BloopAI/vibe-kanban,22457,22457,2184,14,14,1,https://github.com/BloopAI/vibe-kanban
daymade/claude-code-skills,622,622,90,1,1,0,https://github.com/daymade/claude-code-skills
gsd-build/get-shit-done,24923,24923,2131,93,93,10,https://github.com/gsd-build/get-shit-done
PleasePrompto/notebooklm-skill,4127,4127,412,6,6,0,https://github.com/PleasePrompto/notebooklm-skill
upstash/context7,47839,47839,2258,21,21,0,https://github.com/upstash/context7
danielmiessler/Personal_AI_Infrastructure,9537,9537,1328,6,6,0,https://github.com/danielmiessler/Personal_AI_Infrastructure
